l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600618.SH,氯碱化工,19921113,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,000510.SZ,新金路,19930507,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,600328.SH,中盐化工,20001222,,Y
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,000707.SZ,双环科技,19970415,,Y
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,000822.SZ,山东海化,19980703,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,002274.SZ,华昌化工,20220729,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,600367.SH,红星发展,20010320,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,000635.SZ,英力特,20070702,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,301256.SZ,华融化学,20220304,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600075.SH,新疆天业,20080102,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,002386.SZ,天原股份,20100122,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,601216.SH,君正集团,20110110,,Y
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,000683.SZ,远兴能源,20110110,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,603067.SH,振华股份,20160907,,Y
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,601065.SH,江盐集团,20230327,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,000818.SZ,航锦科技,20170629,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,002053.SZ,云南能投,20180713,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600319.SH,亚星化学,20190724,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,603938.SH,三孚股份,20220729,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,601568.SH,北元集团,20200924,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,003017.SZ,大洋生物,20201016,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,300927.SZ,江天化学,20201223,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,000691.SZ,亚太实业,20220729,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,002648.SZ,卫星化学,20220729,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,301190.SZ,善水科技,20240730,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,601678.SH,滨化股份,20190724,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,600714.SH,金瑞矿业,20090601,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600989.SH,宝丰能源,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600746.SH,江苏索普,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600623.SH,华谊集团,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,000545.SZ,金浦钛业,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850321.SI,纯碱,600409.SH,三友化工,20220729,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600722.SH,金牛化工,20220729,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,603299.SH,苏盐井神,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,603213.SH,镇洋发展,20211029,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,301118.SZ,恒光股份,20211105,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,600955.SH,维远股份,20210827,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,001217.SZ,华尔泰,20210913,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,301069.SZ,凯盛新材,20210913,,Y
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,600727.SH,鲁北化工,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,300891.SZ,惠云钛业,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,600929.SH,雪天盐业,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,300082.SZ,奥克股份,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,002145.SZ,中核钛白,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,002601.SZ,龙佰集团,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,600423.SH,柳化股份,20240730,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600935.SH,华塑股份,20211112,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,000990.SZ,诚志股份,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,603663.SH,三祥新材,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,002109.SZ,兴化股份,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,600844.SH,丹化科技,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850326.SI,钛白粉,002136.SZ,安纳达,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,600610.SH,中毅达,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工,000830.SZ,鲁西化工,20210730,,Y
801030.SI,基础化工,801033.SI,化学原料,850324.SI,其他化学原料,603113.SH,金能科技,20240521,,Y
